Season,Type,Week,Timeframe,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayScore,AwayTeamHasWon,HomeTeam,HomeScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHouseNJHomeMoneyLine,SugarHouseNJAwayMoneyLine,SugarHouseNJHomePointSpread,SugarHouseNJAwayPointSpread,SugarHouseNJHomePointSpreadPayout,SugarHouseNJAwayPointSpreadPayout,SugarHouseNJOverUnder,SugarHouseNJOverPayout,SugarHouseNJUnderPayout,SugarHouseNJHomeTeamTotal,SugarHouseNJAwayTeamTotal,SugarHouseNJHomeTeamTotalPayout,SugarHouseNJAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2013,RegularSeason,1,Week 1,9/5/13,8:30 PM ET,Thu,9/5/13 @ 8:30 PM ET,7/26/2021 6:06:07 PM,Final,BAL,27,False,DEN,49,True,/assets/images/nfl/logos/BAL.png,/assets/images/nfl/logos/DEN.png,,,,1,,,-7.5,7.5,,,48,,,,,,,,,-7.5,7.5,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,1:00 PM ET,Sun,9/8/13 @ 1:00 PM ET,7/26/2021 6:06:07 PM,Final,NE,23,True,BUF,21,False,/assets/images/nfl/logos/NE.png,/assets/images/nfl/logos/BUF.png,,,,1,,,10,-10,,,50.5,,,,,,,,,10,-10,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,1:00 PM ET,Sun,9/8/13 @ 1:00 PM ET,7/26/2021 6:06:07 PM,Final,CIN,21,False,CHI,24,True,/assets/images/nfl/logos/CIN.png,/assets/images/nfl/logos/CHI.png,,,,1,,,-3,3,,,41.5,,,,,,,,,-3,3,,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,1:00 PM ET,Sun,9/8/13 @ 1:00 PM ET,7/26/2021 6:06:07 PM,Final,MIA,23,True,CLE,10,False,/assets/images/nfl/logos/MIA.png,/assets/images/nfl/logos/CLE.png,,,,1,,,-2.5,2.5,,,41,,,,,,,,,-2.5,2.5,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,1:00 PM ET,Sun,9/8/13 @ 1:00 PM ET,7/26/2021 6:06:07 PM,Final,ATL,17,False,NO,23,True,/assets/images/nfl/logos/ATL.png,/assets/images/nfl/logos/NO.png,,,,1,,,-3.5,3.5,,,54.5,,,,,,,,,-3.5,3.5,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,1:00 PM ET,Sun,9/8/13 @ 1:00 PM ET,7/26/2021 6:06:07 PM,Final,TB,17,False,NYJ,18,True,/assets/images/nfl/logos/TB.png,/assets/images/nfl/logos/NYJ.png,,,,1,,,4,-4,,,39.5,,,,,,,,,4,-4,,,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,1:00 PM ET,Sun,9/8/13 @ 1:00 PM ET,7/26/2021 6:06:07 PM,Final,TEN,16,True,PIT,9,False,/assets/images/nfl/logos/TEN.png,/assets/images/nfl/logos/PIT.png,,,,1,,,-6,6,,,42,,,,,,,,,-6,6,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,1:00 PM ET,Sun,9/8/13 @ 1:00 PM ET,7/26/2021 6:06:07 PM,Final,MIN,24,False,DET,34,True,/assets/images/nfl/logos/MIN.png,/assets/images/nfl/logos/DET.png,,,,1,,,-4,4,,,46.5,,,,,,,,,-4,4,,,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,1:00 PM ET,Sun,9/8/13 @ 1:00 PM ET,7/26/2021 6:06:07 PM,Final,LV,17,False,IND,21,True,/assets/images/nfl/logos/LV.png,/assets/images/nfl/logos/IND.png,,,,1,,,-11,11,,,45.5,,,,,,,,,-11,11,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,1:00 PM ET,Sun,9/8/13 @ 1:00 PM ET,7/26/2021 6:06:07 PM,Final,SEA,12,True,CAR,7,False,/assets/images/nfl/logos/SEA.png,/assets/images/nfl/logos/CAR.png,,,,1,,,3,-3,,,44.5,,,,,,,,,3,-3,,,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,1:00 PM ET,Sun,9/8/13 @ 1:00 PM ET,7/26/2021 6:06:07 PM,Final,KC,28,True,JAX,2,False,/assets/images/nfl/logos/KC.png,/assets/images/nfl/logos/JAX.png,,,,1,,,3.5,-3.5,,,42.5,,,,,,,,,3.5,-3.5,,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,4:25 PM ET,Sun,9/8/13 @ 4:25 PM ET,7/26/2021 6:06:07 PM,Final,ARI,24,False,LAR,27,True,/assets/images/nfl/logos/ARI.png,/assets/images/nfl/logos/LAR.png,,,,1,,,-3.5,3.5,,,41.5,,,,,,,,,-3.5,3.5,,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,4:25 PM ET,Sun,9/8/13 @ 4:25 PM ET,7/26/2021 6:06:07 PM,Final,GB,28,False,SF,34,True,/assets/images/nfl/logos/GB.png,/assets/images/nfl/logos/SF.png,,,,1,,,-5,5,,,47,,,,,,,,,-5,5,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/8/13,8:30 PM ET,Sun,9/8/13 @ 8:30 PM ET,7/26/2021 6:06:07 PM,Final,NYG,31,False,DAL,36,True,/assets/images/nfl/logos/NYG.png,/assets/images/nfl/logos/DAL.png,,,,1,,,-3.5,3.5,,,49.5,,,,,,,,,-3.5,3.5,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/9/13,6:55 PM ET,Mon,9/9/13 @ 6:55 PM ET,7/26/2021 6:06:07 PM,Final,PHI,33,True,WAS,27,False,/assets/images/nfl/logos/PHI.png,/assets/images/nfl/logos/WAS.png,,,,1,,,-4,4,,,52,,,,,,,,,-4,4,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RegularSeason,1,Week 1,9/9/13,10:15 PM ET,Mon,9/9/13 @ 10:15 PM ET,7/26/2021 6:06:07 PM,Final,HOU,31,True,LAC,28,False,/assets/images/nfl/logos/HOU.png,/assets/images/nfl/logos/LAC.png,,,,1,,,4.5,-4.5,,,44,,,,,,,,,4.5,-4.5,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
