Rank,Name,Team,Position,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,SnapsPlayed,SnapsPlayedPercentage,FantasyPointSnapPercentage,FantasyPoints
1,Josh Allen,BUF,QB,85,63,71,63,57,77,null,73,67,54,50,63,58,78,70,79,76,77,1161,96.9,34.7,402.58
2,Justin Herbert,LAC,QB,81,71,66,75,75,56,null,60,69,59,76,71,64,66,80,62,67,93,1191,99.6,32,380.76
3,Tom Brady,TB,QB,65,60,73,78,62,75,65,61,null,48,69,67,70,83,74,64,74,51,1139,96.3,32.9,374.74
4,Patrick Mahomes,KC,QB,65,51,79,67,86,82,54,81,65,73,68,null,57,62,72,63,61,78,1164,97.4,31.1,361.66
5,Jonathan Taylor,IND,RB,42,30,29,36,36,31,47,59,43,54,57,49,55,null,51,55,42,52,768,68.9,43.4,333.1
6,Aaron Rodgers,GB,QB,42,62,63,72,64,59,56,73,null,74,58,82,null,63,62,59,63,31,983,93.4,33.8,332.3
7,Matthew Stafford,LAR,QB,52,59,65,68,67,56,65,58,78,55,null,62,63,58,66,70,58,65,1065,97.8,31,329.74
8,Dak Prescott,DAL,QB,83,62,74,61,78,89,null,null,62,62,67,74,70,85,71,61,64,51,1114,96.5,28.8,320.56
9,Joe Burrow,CIN,QB,69,55,47,58,67,59,56,56,69,null,74,58,76,67,53,76,68,null,1008,96.4,31.2,314.24
10,Jalen Hurts,PHI,QB,71,58,58,74,67,52,69,51,57,64,78,67,null,null,71,56,61,null,954,97.8,32.7,312.16
11,Kyler Murray,ARI,QB,69,61,67,76,61,68,66,59,null,null,null,null,53,78,64,65,76,76,939,97.4,32,300.48
12,Kirk Cousins,MIN,QB,83,61,75,67,67,89,null,66,54,79,70,55,76,70,64,63,null,48,1087,100,27.6,300.34
13,Cooper Kupp,LAR,WR,49,59,53,65,59,55,63,58,78,55,null,62,64,52,62,68,58,64,1024,94,28.8,294.5
14,Austin Ekeler,LAC,RB,47,45,49,45,53,34,null,45,46,42,53,48,47,33,27,null,39,78,731,64.5,37.5,273.8
15,Ryan Tannehill,TEN,QB,64,88,68,100,64,53,67,72,57,60,81,56,null,68,80,62,60,68,1168,98.6,23,268.36
16,Deebo Samuel,SF,WR,46,49,63,68,56,null,48,46,54,49,55,46,null,55,46,45,53,50,829,80.3,31.6,261.96
17,Carson Wentz,IND,QB,76,62,61,71,69,48,68,80,62,64,62,69,62,null,52,70,59,57,1092,98,23.6,258.02
18,Derek Carr,LV,QB,86,66,83,57,63,56,66,null,68,54,47,86,59,63,68,69,61,75,1127,98.9,22.8,256.96
19,Joe Mixon,CIN,RB,54,46,35,40,19,45,34,43,47,null,53,49,50,40,31,62,50,null,698,66.7,35.2,245.9
20,Russell Wilson,SEA,QB,54,54,53,56,40,null,null,null,null,61,49,47,70,61,57,56,72,58,788,96.9,30.8,242.82
21,Lamar Jackson,BAL,QB,68,76,58,73,73,65,61,null,98,73,null,81,74,10,null,null,null,null,810,91,29.6,239.98
22,Jimmy Garoppolo,SF,QB,51,70,67,37,null,null,56,56,59,68,64,70,58,71,57,59,null,70,913,94.7,24.9,227.5
23,Najee Harris,PIT,RB,58,53,79,48,42,63,null,62,59,76,52,36,58,71,49,56,78,40,980,83.5,23.1,226.7
24,Mac Jones,NE,QB,75,58,72,59,64,54,64,77,56,58,64,59,51,null,68,64,59,62,1064,96.3,21.1,224.94
25,Ja'Marr Chase,CIN,WR,62,51,39,46,61,57,53,53,71,null,68,52,73,65,51,69,64,5,940,85.5,23.8,223.6
26,Matt Ryan,ATL,QB,70,66,62,76,78,null,63,53,59,38,50,60,71,69,59,46,53,50,1023,97.2,21.8,222.92
27,Justin Jefferson,MIN,WR,76,53,62,59,60,84,null,47,43,60,63,51,69,67,59,61,54,46,1014,88.9,21.9,222.4
28,Taylor Heinicke,WAS,QB,39,71,54,67,83,59,72,70,null,73,67,84,67,48,null,43,63,59,1019,95.1,21.8,221.86
29,Davante Adams,GB,WR,40,57,56,63,58,50,48,null,58,70,52,80,null,58,57,55,62,22,886,84.9,25,221.3
30,James Conner,ARI,RB,34,24,25,33,29,41,21,22,54,45,68,null,48,75,33,null,null,46,598,58,36.9,220.7
31,Ben Roethlisberger,PIT,QB,58,56,83,60,65,75,null,74,72,null,69,62,60,74,49,62,81,76,1076,99.1,20.3,218.1
32,Ezekiel Elliott,DAL,RB,70,44,54,46,47,63,null,55,33,38,46,47,45,54,44,42,45,37,810,66,25.3,205.06
33,T.J. Watt,PIT,LB,69,16,null,61,50,56,null,51,56,33,null,55,64,25,67,38,56,61,758,72.7,26.8,203.25
34,Teddy Bridgewater,DEN,QB,66,69,67,31,60,81,50,53,78,58,null,43,77,68,43,null,null,null,844,91.2,24,202.68
35,Trevor Lawrence,JAX,QB,74,56,68,56,71,66,null,76,55,66,46,73,58,55,70,73,47,68,1078,99.4,18.5,199.04
36,Nick Chubb,CLE,RB,31,35,40,37,40,null,null,33,27,null,42,30,null,43,37,41,30,16,482,52.5,40.5,195.3
37,Jared Goff,DET,QB,92,57,63,71,68,63,69,58,null,71,null,49,72,63,64,null,null,58,918,99.4,21.2,194.5
38,Mark Andrews,BAL,TE,55,57,46,46,56,37,50,null,77,57,58,55,50,65,56,47,58,66,936,75.4,20.7,194.1
39,Damien Harris,NE,RB,40,24,22,36,21,26,35,41,24,null,25,22,13,null,null,31,16,30,406,41.9,47.3,192.1
40,Mike Evans,TB,WR,61,46,61,69,58,70,56,58,null,48,64,66,65,77,17,null,56,43,915,82,20.6,188.5
41,Alvin Kamara,NO,RB,45,37,52,59,49,null,61,51,52,null,null,null,null,52,37,31,45,56,627,75.5,29.9,187.7
42,Antonio Gibson,WAS,RB,36,43,31,37,47,23,30,23,null,46,33,57,55,46,43,22,null,32,604,56.8,31,187.1
43,Leonard Fournette,TB,RB,42,31,26,64,46,47,39,37,null,31,46,54,61,66,33,null,null,null,623,63.4,30,186.6
44,Tyreek Hill,KC,WR,57,50,58,54,73,47,52,62,54,56,55,null,50,44,60,29,52,14,867,72.6,21.4,185.5
45,Cordarrelle Patterson,ATL,RB,24,24,26,23,46,null,46,32,33,15,null,29,34,34,37,25,27,18,473,47.4,38.6,182.6
46,Stefon Diggs,BUF,WR,79,51,59,53,42,62,null,55,59,46,43,54,55,69,58,65,60,67,977,81.6,18.7,182.5
47,Dallas Cowboys,DAL,DST,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
48,Tua Tagovailoa,MIA,QB,52,9,null,null,null,69,73,69,null,32,72,74,69,null,68,61,61,68,777,87.3,23.3,180.92
49,Baker Mayfield,CLE,QB,59,61,76,78,72,55,null,59,45,36,74,60,null,63,null,68,71,null,877,96,20.6,180.9
50,Foyesade Oluokun,ATL,LB,71,63,70,67,56,null,73,74,76,60,62,71,70,64,57,67,76,72,1149,98.8,15.7,180.4
51,Aaron Jones,GB,RB,28,45,46,45,44,35,41,48,40,34,null,40,null,29,39,33,31,null,578,58.4,30.6,177
52,Derrick Henry,TEN,RB,40,67,49,59,49,43,50,54,null,null,null,null,null,null,null,null,null,null,411,71.1,42.7,175.3
53,Dalvin Cook,MIN,RB,59,47,null,33,null,66,null,47,43,65,53,29,null,54,57,null,29,26,608,70.7,28.3,172.3
54,Josh Jacobs,LV,RB,45,null,null,36,46,36,24,null,34,31,31,57,50,47,45,48,38,57,625,63.1,27.5,172
55,Micah Parsons,DAL,LB,51,39,37,68,63,54,null,64,67,40,60,77,65,54,56,33,75,null,903,84.6,18.9,170.95
56,Travis Kelce,KC,TE,55,44,69,59,75,67,53,74,56,58,59,null,44,49,56,null,48,60,926,82.2,18.4,170.8
57,Mike Williams,LAC,WR,61,54,48,64,58,20,null,54,57,56,60,61,56,59,65,null,56,67,896,79,19,170.6
58,Jordyn Brooks,SEA,LB,68,72,50,50,61,63,59,55,null,63,75,75,56,81,66,74,63,76,1107,87.4,15.4,170.2
59,DK Metcalf,SEA,WR,50,51,47,46,48,49,46,41,null,45,45,44,62,45,53,49,48,51,820,82.7,20.6,169.3
60,Tyler Lockett,SEA,WR,46,50,49,48,56,58,48,44,null,58,45,47,59,46,null,48,60,51,813,87,20.7,168.4
61,Diontae Johnson,PIT,WR,44,49,null,55,60,69,null,68,65,74,63,61,57,72,48,65,72,65,987,90.6,17,167.4
62,Melvin Gordon III,DEN,RB,33,41,36,30,36,43,29,30,41,25,null,26,null,34,31,23,30,26,514,51.2,32.5,167.1
63,Daniel Jones,NYG,QB,61,69,70,63,29,75,72,60,56,null,58,60,null,null,null,null,null,null,673,94.5,24.7,166.52
64,Roquan Smith,CHI,LB,52,55,81,71,67,59,73,56,72,null,81,18,53,47,64,56,56,48,1009,95.4,16.4,165.5
65,Javonte Williams,DEN,RB,33,28,27,31,25,38,21,23,37,33,null,36,60,33,44,22,30,30,551,51,29.4,161.9
66,De'Vondre Campbell,GB,LB,56,57,70,60,59,61,72,59,65,61,70,62,null,52,70,68,46,null,988,97.1,16.3,160.8
67,Shaquille Leonard,IND,LB,54,59,68,52,73,67,56,73,77,63,50,67,45,null,67,null,62,68,1001,98.7,15.8,158.5
68,New England Patriots,NE,DST,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,158
69,Devin Singletary,BUF,RB,64,43,34,32,15,35,null,25,48,22,21,45,28,64,65,54,61,62,718,59.9,22,157.8
70,Sam Darnold,CAR,QB,64,76,73,70,71,74,45,64,59,null,null,null,null,null,null,44,60,71,771,93.1,20.4,157.28
71,Aaron Donald,LAR,DL,66,62,60,72,60,45,63,41,55,53,null,81,52,74,57,61,71,68,1041,90.1,15.1,157.1
72,Davis Mills,HOU,QB,null,35,55,47,59,75,56,61,null,null,null,null,23,81,59,68,67,57,743,93.1,21.1,156.96
73,Nick Bosa,SF,DL,51,44,54,39,42,null,56,57,52,42,34,44,61,55,47,54,49,60,841,77.7,18.6,156.2
