Season,Type,Week,Timeframe,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayScore,AwayTeamHasWon,HomeTeam,HomeScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2021,RegularSeason,12,Week 12,11/25/21,12:30 PM ET,Thu,11/25/21 @ 12:30 PM ET,6/2/2022 12:18:08 PM,Final,CHI,16,True,DET,14,False,/assets/images/nfl/logos/CHI.png,/assets/images/nfl/logos/DET.png,"Q1, Q2, Q3, Q4","7, 0, 7, 0","0, 13, 0, 3",1,192,-225,4.5,-4.5,-110,-110,,,,,,,,123,-147,2.5,-2.5,-109,-109,41.5,-113,-109,,,,,115,-135,2.5,-2.5,-110,-110,41.5,-110,-110,,,,,116,-136,2.5,-2.5,-110,-110,41.5,-115,-105,,,,,130,-148,2.5,-2.5,-106,-108,41.5,-113,-108,,,,,125,-155,2.5,-2.5,-112,-108,41.5,-113,-108,,,,,125,-155,2.5,-2.5,-112,-108,41.5,-113,-108,,,,,130,-148,2.5,-2.5,-106,-108,41.5,-113,-108,,,,,115,-135,2,-2,-115,-105,41.5,-110,-110,,,,,110,-130,2,-2,-110,-110,42.5,-110,-110,,,,,130,-159,2.5,-2.5,-105,-115,41.5,-110,-110,,,,,125,-155,2.5,-2.5,-112,-108,41.5,-113,-108,,,,,,,,,,,,,,,,,
2021,RegularSeason,12,Week 12,11/25/21,4:30 PM ET,Thu,11/25/21 @ 4:30 PM ET,6/2/2022 12:18:08 PM,F/OT,LV,36,True,DAL,33,False,/assets/images/nfl/logos/LV.png,/assets/images/nfl/logos/DAL.png,"Q1, Q2, Q3, Q4, OT","6, 7, 6, 14, 0","14, 3, 10, 6, 3",1,-305,240,-7,7,-109,-112,,,,,,,,-330,263,-7,7,-112,-107,50.5,-110,-112,,,,,-310,245,-7,7,-110,-110,51,-110,-110,,,,,-340,275,-7,7,-114,-106,50.5,-110,-110,,,,,-315,265,-7,7,-110,-104,50.5,-109,-112,,,,,-335,255,-7,7,-114,-107,50.5,-109,-112,,,,,-335,255,-7,7,-114,-107,50.5,-109,-112,,,,,-315,265,-7,7,-110,-104,50.5,-109,-112,,,,,-330,260,-7,7,-110,-110,51,-110,-110,,,,,-350,280,-7,7,-115,-105,51,-110,-110,,,,,-357,290,-7.5,7.5,-110,-110,50.5,-110,-110,,,,,-335,255,-7,7,-114,-107,50.5,-109,-112,,,,,,,,,,,,,,,,,
2021,RegularSeason,12,Week 12,11/25/21,8:20 PM ET,Thu,11/25/21 @ 8:20 PM ET,6/2/2022 12:18:08 PM,Final,BUF,31,True,NO,6,False,/assets/images/nfl/logos/BUF.png,/assets/images/nfl/logos/NO.png,"Q1, Q2, Q3, Q4","0, 0, 0, 6","7, 3, 14, 7",1,130,-159,3.5,-3.5,-122,100,,,,,,,,240,-297,6.5,-6.5,-106,-112,45,-110,-112,,,,,240,-305,7,-7,-110,-110,44.5,-110,-110,,,,,245,-300,7,-7,-114,-106,45,-106,-114,,,,,245,-286,6.5,-6.5,-104,-110,45,-109,-112,,,,,235,-305,6.5,-6.5,-107,-114,45,-109,-112,,,,,235,-305,6.5,-6.5,-107,-114,45,-109,-112,,,,,245,-286,6.5,-6.5,-104,-110,45,-109,-112,,,,,235,-290,7,-7,-115,-105,45,-110,-110,,,,,240,-300,7,-7,-115,-105,44.5,-110,-110,,,,,240,-303,7,-7,-115,-105,45,-110,-110,,,,,235,-305,6.5,-6.5,-107,-114,45,-109,-112,,,,,,,,,,,,,,,,,
2021,RegularSeason,12,Week 12,11/28/21,1:00 PM ET,Sun,11/28/21 @ 1:00 PM ET,6/2/2022 12:18:08 PM,Final,PIT,10,False,CIN,41,True,/assets/images/nfl/logos/PIT.png,/assets/images/nfl/logos/CIN.png,"Q1, Q2, Q3, Q4","10, 21, 3, 7","3, 0, 0, 7",1,,,3,-3,-110,-110,46,-110,-110,,,,,-188,158,-4,4,-107,-112,43.5,-112,-109,,,,,-180,155,-3.5,3.5,-105,-115,43.5,-115,-105,,,,,-180,152,-3.5,3.5,-108,-112,43.5,-110,-110,,,,,-190,165,-4,4,-105,-110,43.5,-113,-108,,,,,-195,160,-4,4,-108,-113,43.5,-113,-108,,,,,-195,160,-4,4,-108,-113,43.5,-113,-108,,,,,-190,165,-4,4,-105,-110,43.5,-113,-108,,,,,-180,155,-3.5,3.5,-110,-110,43.5,-110,-110,,,,,-180,150,-4,4,-110,-110,43.5,-110,-110,,,,,-189,155,-3.5,3.5,-110,-110,43.5,-110,-110,,,,,-195,160,-4,4,-108,-113,43.5,-113,-108,,,,,,,,,,,,,,,,,
2021,RegularSeason,12,Week 12,11/28/21,1:00 PM ET,Sun,11/28/21 @ 1:00 PM ET,6/2/2022 12:18:08 PM,Final,TB,38,True,IND,31,False,/assets/images/nfl/logos/TB.png,/assets/images/nfl/logos/IND.png,"Q1, Q2, Q3, Q4","3, 21, 0, 7","0, 14, 14, 10",1,,,1,-1,-110,-110,51.5,-110,-110,,,,,130,-153,3,-3,-112,-107,53.5,-108,-113,,,,,130,-150,3,-3,-115,-105,53,-105,-115,,,,,132,-154,3,-3,-110,-110,52.5,-115,-105,,,,,132,-150,3,-3,-110,-104,53.5,-108,-113,,,,,128,-157,3,-3,-113,-108,53.5,-108,-113,,,,,128,-157,3,-3,-113,-108,53.5,-108,-113,,,,,132,-150,3,-3,-110,-104,53.5,-108,-113,,,,,130,-150,2.5,-2.5,100,-120,53,-110,-110,,,,,130,-150,3,-3,-110,-110,53.5,-110,-110,,,,,130,-156,3,-3,-115,-105,53,-110,-110,,,,,128,-157,3,-3,-113,-108,53.5,-108,-113,,,,,,,,,,,,,,,,,
2021,RegularSeason,12,Week 12,11/28/21,1:00 PM ET,Sun,11/28/21 @ 1:00 PM ET,6/2/2022 12:18:08 PM,Final,CAR,10,False,MIA,33,True,/assets/images/nfl/logos/CAR.png,/assets/images/nfl/logos/MIA.png,"Q1, Q2, Q3, Q4","7, 14, 6, 6","7, 3, 0, 0",1,,,-4.5,4.5,-110,-110,51.5,-110,-110,,,,,-102,-117,1,-1,-110,-110,41,-110,-112,,,,,100,-120,1.5,-1.5,-110,-110,40.5,-110,-110,,,,,100,-118,1.5,-1.5,-118,-104,41.5,-105,-115,,,,,100,-113,1,-1,-110,-110,41,-109,-112,,,,,-105,-117,1,-1,-110,-110,41,-109,-112,,,,,-105,-117,1,-1,-110,-110,41,-109,-112,,,,,100,-113,1,-1,-110,-110,41,-109,-112,,,,,100,-120,1,-1,-115,-105,41,-110,-110,,,,,100,-120,1.5,-1.5,-110,-110,41,-110,-110,,,,,100,-120,1.5,-1.5,-110,-110,41,-110,-110,,,,,-105,-117,1,-1,-110,-110,41,-109,-112,,,,,,,,,,,,,,,,,
2021,RegularSeason,12,Week 12,11/28/21,1:00 PM ET,Sun,11/28/21 @ 1:00 PM ET,6/2/2022 12:18:08 PM,Final,TEN,13,False,NE,36,True,/assets/images/nfl/logos/TEN.png,/assets/images/nfl/logos/NE.png,"Q1, Q2, Q3, Q4","7, 9, 10, 10","0, 13, 0, 0",1,,,-1.5,1.5,-110,-110,48,-110,-110,,,,,-315,253,-7,7,-115,-106,43,-112,-109,,,,,-335,260,-7,7,-120,100,43,-110,-110,,,,,-300,245,-7.5,7.5,-105,-115,42.5,-115,-105,,,,,-305,260,-7,7,-115,-106,43,-113,-108,,,,,-315,245,-7,7,-115,-106,43,-113,-108,,,,,-315,245,-7,7,-115,-106,43,-113,-108,,,,,-305,260,-7,7,-115,-106,43,-113,-108,,,,,-340,270,-7.5,7.5,-105,-115,43,-110,-110,,,,,-325,250,-7.5,7.5,-105,-115,43,-110,-110,,,,,-323,255,-7.5,7.5,-110,-110,43,-110,-110,,,,,-315,245,-7,7,-115,-106,43,-113,-108,,,,,,,,,,,,,,,,,
2021,RegularSeason,12,Week 12,11/28/21,1:00 PM ET,Sun,11/28/21 @ 1:00 PM ET,6/2/2022 12:18:08 PM,Final,PHI,7,False,NYG,13,True,/assets/images/nfl/logos/PHI.png,/assets/images/nfl/logos/NYG.png,"Q1, Q2, Q3, Q4","3, 0, 7, 3","0, 0, 0, 7",1,,,-3,3,-110,-110,46.5,-110,-110,,,,,165,-197,4,-4,-112,-107,45,-112,-109,,,,,160,-190,4,-4,-115,-105,45.5,-110,-110,,,,,160,-190,4,-4,-115,-105,45.5,-106,-114,,,,,170,-195,4,-4,-109,-105,45,-112,-109,,,,,165,-200,4,-4,-112,-109,45,-112,-109,,,,,165,-200,4,-4,-112,-109,45,-112,-109,,,,,170,-195,4,-4,-109,-105,45,-112,-109,,,,,175,-210,3.5,-3.5,-110,-110,45.5,-110,-110,,,,,145,-175,3.5,-3.5,-110,-110,45,-110,-110,,,,,165,-200,4,-4,-110,-110,45.5,-110,-110,,,,,165,-200,4,-4,-112,-109,45,-112,-109,,,,,,,,,,,,,,,,,
2021,RegularSeason,12,Week 12,11/28/21,1:00 PM ET,Sun,11/28/21 @ 1:00 PM ET,6/2/2022 12:18:08 PM,Final,ATL,21,True,JAX,14,False,/assets/images/nfl/logos/ATL.png,/assets/images/nfl/logos/JAX.png,"Q1, Q2, Q3, Q4","0, 3, 8, 3","7, 7, 7, 0",1,,,-1,1,-110,-110,51,-110,-110,,,,,105,-124,2,-2,-112,-109,46,-110,-110,,,,,100,-120,1,-1,-110,-110,46,-110,-110,,,,,100,-118,1.5,-1.5,-112,-108,45.5,-114,-106,,,,,108,-122,2,-2,-112,-109,46,-110,-110,,,,,104,-127,2,-2,-112,-109,46,-110,-110,,,,,104,-127,2,-2,-112,-109,46,-110,-110,,,,,108,-122,2,-2,-112,-109,46,-110,-110,,,,,110,-130,1.5,-1.5,-110,-110,46,-110,-110,,,,,-105,-115,1,-1,-110,-110,46,-110,-110,,,,,110,-128,2,-2,-110,-110,46,-110,-110,,,,,104,-127,2,-2,-112,-109,46,-110,-110,,,,,,,,,,,,,,,,,
2021,RegularSeason,12,Week 12,11/28/21,1:00 PM ET,Sun,11/28/21 @ 1:00 PM ET,6/2/2022 12:18:08 PM,Final,NYJ,21,True,HOU,14,False,/assets/images/nfl/logos/NYJ.png,/assets/images/nfl/logos/HOU.png,"Q1, Q2, Q3, Q4","0, 14, 0, 0","3, 8, 7, 3",1,,,1,-1,-110,-110,46,-110,-110,,,,,-144,122,-2.5,2.5,-112,-107,44.5,-109,-113,,,,,-140,120,-2.5,2.5,-115,-105,45,-110,-110,,,,,-144,124,-2.5,2.5,-115,-105,44.5,-110,-110,,,,,-141,125,-2.5,2.5,-108,-106,44.5,-108,-113,,,,,-148,120,-2.5,2.5,-112,-108,44.5,-108,-113,,,,,-148,120,-2.5,2.5,-112,-108,44.5,-108,-113,,,,,-141,125,-2.5,2.5,-108,-106,44.5,-108,-113,,,,,-150,130,-3,3,-105,-115,44.5,-110,-110,,,,,-125,105,-2,2,-110,-110,44.5,-110,-110,,,,,-149,125,-3,3,-105,-115,45,-110,-110,,,,,-148,120,-2.5,2.5,-112,-108,44.5,-108,-113,,,,,,,,,,,,,,,,,
