Season,Type,Week,Timeframe,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayScore,AwayTeamHasWon,HomeTeam,HomeScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHouseNJHomeMoneyLine,SugarHouseNJAwayMoneyLine,SugarHouseNJHomePointSpread,SugarHouseNJAwayPointSpread,SugarHouseNJHomePointSpreadPayout,SugarHouseNJAwayPointSpreadPayout,SugarHouseNJOverUnder,SugarHouseNJOverPayout,SugarHouseNJUnderPayout,SugarHouseNJHomeTeamTotal,SugarHouseNJAwayTeamTotal,SugarHouseNJHomeTeamTotalPayout,SugarHouseNJAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2022,RegularSeason,11,Week 11,11/17/22,8:15 PM ET,Thu,11/17/22 @ 8:15 PM ET,11/22/2022 9:36:21 PM,Final,TEN,27,True,GB,17,False,/assets/images/nfl/logos/TEN.png,/assets/images/nfl/logos/GB.png,"Q1, Q2, Q3, Q4","6, 0, 11, 0","7, 7, 6, 7",1,,,-4.5,4.5,-110,-110,,,,,,,,-179,149,-3.5,3.5,-103,-118,40.5,-113,-108,,,,,-165,140,-3,3,-120,100,40.5,-115,-105,,,,,-176,148,-3,3,-120,-102,40.5,-115,-105,,,,,-177,155,-3.5,3.5,-104,-118,41,-110,-110,,,,,,,,,,,,,,,,,,-180,152,-3,3,-120,100,40.5,-110,-110,,,,,-180,150,-3.5,3.5,100,-115,40.5,-107,-107,,,,,-175,145,-3,3,-115,-105,40.5,-110,-110,,,,,-157,138,-3.5,3.5,-104,-118,41,-110,-110,,,,,-186,150,-3.5,3.5,-103,-118,40.5,-114,-107,,,,
2022,RegularSeason,11,Week 11,11/20/22,1:00 PM ET,Sun,11/20/22 @ 1:00 PM ET,11/22/2022 9:36:21 PM,Final,CHI,24,False,ATL,27,True,/assets/images/nfl/logos/CHI.png,/assets/images/nfl/logos/ATL.png,"Q1, Q2, Q3, Q4","7, 10, 7, 3","7, 10, 0, 7",1,-110,-110,0,0,-110,-110,,,,,,,,-137,115,-2.5,2.5,-112,-110,48.5,-111,-111,,,,,-125,105,-2,2,-110,-110,48.5,-105,-115,,,,,-120,102,-2.5,2.5,-104,-118,48.5,-105,-115,,,,,-141,125,-2.5,2.5,-110,-110,48.5,-113,-108,,,,,,,,,,,,,,,,,,-130,110,-2,2,-110,-110,48,-110,-110,,,,,-130,110,-2,2,-107,-107,48.5,-105,-110,,,,,-125,105,-2,2,-110,-110,48.5,-115,-115,,,,,-148,120,-2.5,2.5,-113,-108,48.5,-112,-109,,,,,-148,120,-2.5,2.5,-113,-108,48.5,-112,-109,,,,
2022,RegularSeason,11,Week 11,11/20/22,1:00 PM ET,Sun,11/20/22 @ 1:00 PM ET,11/22/2022 9:36:21 PM,Final,CLE,23,False,BUF,31,True,/assets/images/nfl/logos/CLE.png,/assets/images/nfl/logos/BUF.png,"Q1, Q2, Q3, Q4","3, 10, 9, 9","7, 3, 0, 13",1,,,-10.5,10.5,-110,-110,,,,,,,,-365,291,-8,8,-109,-112,50,-112,-109,,,,,-365,300,-7.5,7.5,-110,-110,50.5,-110,-110,,,,,-360,290,-7.5,7.5,-115,-105,49.5,-118,-104,,,,,-360,300,-8,8,-109,-112,50,-112,-109,,,,,,,,,,,,,,,,,,-365,285,-8,8,-110,-110,50,-110,-110,,,,,-375,300,-7.5,7.5,-105,-110,50.5,-107,-107,,,,,-350,275,-7.5,7.5,-110,-110,50.5,-110,-110,,,,,-385,290,-8,8,-109,-112,50,-112,-109,,,,,-385,290,-8,8,-109,-112,50,-112,-109,,,,
2022,RegularSeason,11,Week 11,11/20/22,1:00 PM ET,Sun,11/20/22 @ 1:00 PM ET,11/22/2022 9:36:21 PM,Final,PHI,17,True,IND,16,False,/assets/images/nfl/logos/PHI.png,/assets/images/nfl/logos/IND.png,"Q1, Q2, Q3, Q4","7, 3, 3, 3","0, 3, 0, 14",1,,,-3,3,100,-120,,,,,,,,235,-287,6.5,-6.5,-109,-112,45.5,-112,-110,,,,,240,-285,6.5,-6.5,-110,-110,45.5,-110,-110,,,,,230,-280,6.5,-6.5,-112,-108,45.5,-112,-108,,,,,240,-278,6.5,-6.5,-108,-113,45.5,-112,-109,,,,,,,,,,,,,,,,,,240,-305,6.5,-6.5,-110,-110,45.5,-110,-110,,,,,220,-275,6.5,-6.5,-105,-110,45.5,-107,-107,,,,,240,-300,6.5,-6.5,-110,-110,45.5,-110,-110,,,,,230,-295,6.5,-6.5,-108,-113,45.5,-112,-109,,,,,230,-295,6.5,-6.5,-108,-113,45.5,-112,-109,,,,
2022,RegularSeason,11,Week 11,11/20/22,1:00 PM ET,Sun,11/20/22 @ 1:00 PM ET,11/22/2022 9:36:21 PM,Final,NYJ,3,False,NE,10,True,/assets/images/nfl/logos/NYJ.png,/assets/images/nfl/logos/NE.png,"Q1, Q2, Q3, Q4","0, 3, 0, 7","0, 3, 0, 0",1,,,-6,6,-110,-110,,,,,,,,-180,150,-3.5,3.5,-106,-115,38,-110,-110,,,,,-170,145,-3.5,3.5,-105,-115,38,-110,-110,,,,,-190,162,-3.5,3.5,-106,-114,38.5,-106,-114,,,,,-177,155,-3.5,3.5,-106,-115,38,-110,-110,,,,,,,,,,,,,,,,,,-178,150,-3.5,3.5,-105,-115,38,-110,-110,,,,,-170,140,-3.5,3.5,100,-115,38,-110,-105,,,,,-175,145,-3.5,3.5,-105,-115,38,-110,-110,,,,,-186,150,-3.5,3.5,-106,-115,38,-110,-110,,,,,-186,150,-3.5,3.5,-106,-115,38,-110,-110,,,,
2022,RegularSeason,11,Week 11,11/20/22,1:00 PM ET,Sun,11/20/22 @ 1:00 PM ET,11/22/2022 9:36:21 PM,Final,LAR,20,False,NO,27,True,/assets/images/nfl/logos/LAR.png,/assets/images/nfl/logos/NO.png,"Q1, Q2, Q3, Q4","3, 7, 14, 3","7, 7, 0, 6",1,,,3,-3,-110,-110,,,,,,,,-137,116,-2,2,-110,-110,39,-110,-112,,,,,-140,120,-2,2,-110,-110,39,-115,-105,,,,,-136,116,-2.5,2.5,-106,-114,39,-110,-110,,,,,-136,120,-2,2,-110,-110,39,-109,-112,,,,,,,,,,,,,,,,,,-135,115,-2.5,2.5,-110,-110,39,-110,-110,,,,,-130,115,-2,2,-107,-107,39.5,-107,-107,,,,,-125,105,-2,2,-110,-110,39.5,-110,-110,,,,,-141,116,-2,2,-110,-110,39,-109,-112,,,,,-141,116,-2,2,-110,-110,39,-109,-112,,,,
2022,RegularSeason,11,Week 11,11/20/22,1:00 PM ET,Sun,11/20/22 @ 1:00 PM ET,11/22/2022 9:36:21 PM,Final,DET,31,True,NYG,18,False,/assets/images/nfl/logos/DET.png,/assets/images/nfl/logos/NYG.png,"Q1, Q2, Q3, Q4","6, 0, 0, 12","3, 14, 7, 7",1,,,-1.5,1.5,-110,-110,,,,,,,,-166,139,-3,3,-112,-108,44.5,-109,-112,,,,,-170,145,-3,3,-120,100,44,-115,-105,,,,,-168,142,-3,3,-122,100,44.5,-105,-115,,,,,-159,140,-3,3,-110,-110,44.5,-108,-112,,,,,,,,,,,,,,,,,,-170,143,-3,3,-115,-105,44.5,-110,-110,,,,,-170,140,-3,3,-107,-107,44.5,-107,-107,,,,,-165,135,-3.5,3.5,100,-120,44.5,-110,-110,,,,,-165,135,-3,3,-110,-110,44.5,-108,-112,,,,,-165,135,-3,3,-110,-110,44.5,-108,-112,,,,
2022,RegularSeason,11,Week 11,11/20/22,1:00 PM ET,Sun,11/20/22 @ 1:00 PM ET,11/22/2022 9:36:21 PM,Final,CAR,3,False,BAL,13,True,/assets/images/nfl/logos/CAR.png,/assets/images/nfl/logos/BAL.png,"Q1, Q2, Q3, Q4","0, 3, 0, 10","0, 0, 3, 0",1,,,-7,7,-120,100,,,,,,,,-700,505,-12.5,12.5,-112,-110,41,-110,-110,,,,,-610,460,-12,12,-110,-110,41.5,-110,-110,,,,,-700,500,-13,13,-105,-115,41.5,-110,-110,,,,,-670,520,-12.5,12.5,-112,-109,41,-110,-110,,,,,,,,,,,,,,,,,,-700,500,-12.5,12.5,-110,-110,41.5,-110,-110,,,,,-700,475,-12,12,-110,-105,41.5,-107,-107,,,,,-750,525,-12.5,12.5,-110,-110,41.5,-110,-110,,,,,-715,500,-12.5,12.5,-112,-109,41,-110,-110,,,,,-715,500,-12.5,12.5,-112,-109,41,-110,-110,,,,
2022,RegularSeason,11,Week 11,11/20/22,1:00 PM ET,Sun,11/20/22 @ 1:00 PM ET,11/22/2022 9:36:21 PM,Final,WAS,23,True,HOU,10,False,/assets/images/nfl/logos/WAS.png,/assets/images/nfl/logos/HOU.png,"Q1, Q2, Q3, Q4","0, 0, 3, 7","7, 13, 0, 3",1,,,3,-3,-110,-110,,,,,,,,137,-164,3,-3,-109,-112,41,-112,-109,,,,,140,-165,3.5,-3.5,-115,-105,41,-110,-110,,,,,140,-166,3,-3,-105,-115,41.5,-104,-118,,,,,140,-165,3,-3,-109,-112,41,-113,-108,,,,,,,,,,,,,,,,,,140,-165,3,-3,-105,-115,41,-110,-110,,,,,135,-160,3,-3,-107,-107,41,-107,-107,,,,,125,-155,3,-3,-110,-110,41.5,-110,-110,,,,,138,-167,3,-3,-109,-112,41,-113,-108,,,,,138,-167,3,-3,-109,-112,41,-113,-108,,,,
2022,RegularSeason,11,Week 11,11/20/22,4:05 PM ET,Sun,11/20/22 @ 4:05 PM ET,11/22/2022 9:36:21 PM,F/OT,LV,22,True,DEN,16,False,/assets/images/nfl/logos/LV.png,/assets/images/nfl/logos/DEN.png,"Q1, Q2, Q3, Q4, OT","7, 3, 0, 6, 0","0, 7, 3, 6, 6",1,,,-3,3,-120,100,,,,,,,,-151,126,-3,3,-103,-118,41.5,-110,-110,,,,,-140,120,-2.5,2.5,-120,100,41.5,-110,-110,,,,,-154,130,-2.5,2.5,-120,-102,41.5,-110,-110,,,,,-148,130,-3,3,-103,-118,41.5,-110,-110,,,,,,,,,,,,,,,,,,-145,122,-2.5,2.5,-120,100,41.5,-110,-110,,,,,-160,135,-3,3,-115,100,41,-107,-107,,,,,-145,120,-2.5,2.5,-120,100,41.5,-110,-110,,,,,-155,125,-3,3,-103,-118,41.5,-110,-110,,,,,-155,125,-3,3,-103,-118,41.5,-110,-110,,,,
