Season,Type,Week,Timeframe,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayScore,AwayTeamHasWon,HomeTeam,HomeScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2022,RegularSeason,16,Week 16,12/22/22,8:15 PM ET,Thu,12/22/22 @ 8:15 PM ET,12/27/2022 10:57:40 PM,Final,JAX,19,True,NYJ,3,False,/assets/images/nfl/logos/JAX.png,/assets/images/nfl/logos/NYJ.png,"Q1, Q2, Q3, Q4","3, 0, 0, 0","3, 10, 3, 3",1,,,-2.5,2.5,-110,-110,,,,,,,,-142,119,-2.5,2.5,-115,-107,36.5,-110,-112,,,,,-145,125,-2.5,2.5,-120,100,36.5,-110,-110,,,,,-142,120,-2.5,2.5,-114,-106,36.5,-110,-110,,,,,-139,122,-2.5,2.5,-113,-108,36.5,-109,-112,,,,,-143,118,-2.5,2.5,-113,-108,36.5,-109,-112,,,,,,,,,,,,,,,,,,-139,122,-2.5,2.5,-113,-108,36.5,-109,-112,,,,,-145,122,-2.5,2.5,-115,-105,36.5,-110,-110,,,,,-135,115,-2.5,2.5,-110,-105,36.5,-107,-107,,,,,-140,115,-2.5,2.5,-110,-110,36.5,-110,-110,,,,,-143,118,-2.5,2.5,-113,-108,36.5,-109,-112,,,,,-143,118,-2.5,2.5,-113,-108,36.5,-109,-112,,,,
2022,RegularSeason,16,Week 16,12/24/22,1:00 PM ET,Sat,12/24/22 @ 1:00 PM ET,12/29/2022 8:43:06 AM,Final,BUF,35,True,CHI,13,False,/assets/images/nfl/logos/BUF.png,/assets/images/nfl/logos/CHI.png,"Q1, Q2, Q3, Q4","7, 3, 0, 3","6, 0, 15, 14",1,,,7,-7,-110,-110,,,,,,,,310,-390,8.5,-8.5,-110,-110,40.5,-110,-112,,,,,330,-410,8,-8,-110,-110,40.5,-110,-110,,,,,310,-390,8.5,-8.5,-118,-104,40.5,-105,-115,,,,,315,-375,8.5,-8.5,-110,-110,40.5,-109,-112,,,,,300,-385,8.5,-8.5,-110,-110,40.5,-109,-112,,,,,,,,,,,,,,,,,,315,-375,8.5,-8.5,-110,-110,40.5,-109,-112,,,,,320,-420,8,-8,-110,-110,40.5,-110,-110,,,,,280,-350,8,-8,-107,-107,41,-105,-110,,,,,310,-400,8.5,-8.5,-110,-110,40.5,-110,-110,,,,,300,-385,8.5,-8.5,-110,-110,40.5,-109,-112,,,,,300,-385,8.5,-8.5,-110,-110,40.5,-109,-112,,,,
2022,RegularSeason,16,Week 16,12/24/22,1:00 PM ET,Sat,12/24/22 @ 1:00 PM ET,12/29/2022 8:43:13 AM,Final,NO,17,True,CLE,10,False,/assets/images/nfl/logos/NO.png,/assets/images/nfl/logos/CLE.png,"Q1, Q2, Q3, Q4","0, 10, 0, 0","0, 3, 14, 0",1,,,-2.5,2.5,-110,-110,,,,,,,,-182,151,-3.5,3.5,100,-121,32,-112,-110,,,,,-175,150,-3,3,-120,100,32.5,-105,-115,,,,,-186,156,-3.5,3.5,-104,-118,32.5,-105,-115,,,,,-180,157,-3.5,3.5,102,-122,32,-112,-109,,,,,-186,150,-3.5,3.5,102,-122,32,-112,-109,,,,,,,,,,,,,,,,,,-180,157,-3.5,3.5,102,-122,32,-112,-109,,,,,-178,150,-3,3,-120,100,32,-110,-110,,,,,-180,150,-3.5,3.5,100,-115,32,-107,-107,,,,,-185,150,-3.5,3.5,100,-120,32,-110,-110,,,,,-186,150,-3.5,3.5,102,-122,32,-112,-109,,,,,-186,150,-3.5,3.5,102,-122,32,-112,-109,,,,
2022,RegularSeason,16,Week 16,12/24/22,1:00 PM ET,Sat,12/24/22 @ 1:00 PM ET,12/29/2022 8:43:22 AM,Final,SEA,10,False,KC,24,True,/assets/images/nfl/logos/SEA.png,/assets/images/nfl/logos/KC.png,"Q1, Q2, Q3, Q4","7, 10, 0, 7","0, 3, 0, 7",1,-650,460,-10.5,10.5,-110,-110,,,,,,,,-500,385,-10,10,-110,-110,50.5,-109,-112,,,,,-500,400,-10,10,-110,-110,50,-110,-110,,,,,-500,385,-10.5,10.5,-105,-115,50.5,-115,-105,,,,,-500,410,-10,10,-110,-110,50.5,-107,-114,,,,,-500,370,-10,10,-110,-110,50.5,-107,-114,,,,,,,,,,,,,,,,,,-500,410,-10,10,-110,-110,50.5,-107,-114,,,,,-550,400,-10,10,-110,-110,50.5,-110,-110,,,,,-450,350,-10.5,10.5,-107,-107,50.5,-107,-107,,,,,-500,375,-10,10,-110,-110,50.5,-110,-110,,,,,-500,370,-10,10,-110,-110,50.5,-107,-114,,,,,-500,370,-10,10,-110,-110,50.5,-107,-114,,,,
2022,RegularSeason,16,Week 16,12/24/22,1:00 PM ET,Sat,12/24/22 @ 1:00 PM ET,12/29/2022 8:43:33 AM,Final,NYG,24,False,MIN,27,True,/assets/images/nfl/logos/NYG.png,/assets/images/nfl/logos/MIN.png,"Q1, Q2, Q3, Q4","7, 3, 0, 17","0, 7, 6, 11",1,,,-5,5,-110,-110,,,,,,,,-220,182,-4.5,4.5,-110,-110,48,-112,-109,,,,,-210,180,-4.5,4.5,-110,-110,48,-110,-110,,,,,-220,184,-4.5,4.5,-110,-110,48.5,-104,-118,,,,,-215,185,-5,5,-107,-114,48,-113,-108,,,,,-225,180,-5,5,-107,-114,48,-113,-108,,,,,,,,,,,,,,,,,,-215,185,-5,5,-107,-114,48,-113,-108,,,,,-225,185,-4.5,4.5,-110,-110,48,-110,-110,,,,,-225,185,-4.5,4.5,-107,-107,48,-107,-107,,,,,-225,180,-4.5,4.5,-110,-110,48.5,-110,-110,,,,,-225,180,-5,5,-107,-114,48,-113,-108,,,,,-225,180,-5,5,-107,-114,48,-113,-108,,,,
2022,RegularSeason,16,Week 16,12/24/22,1:00 PM ET,Sat,12/24/22 @ 1:00 PM ET,12/29/2022 8:43:44 AM,Final,CIN,22,True,NE,18,False,/assets/images/nfl/logos/CIN.png,/assets/images/nfl/logos/NE.png,"Q1, Q2, Q3, Q4","0, 0, 6, 12","12, 10, 0, 0",1,100,-120,1,-1,-110,-110,,,,,,,,135,-161,3,-3,-109,-112,41.5,-112,-110,,,,,140,-165,3,-3,-110,-110,41.5,-110,-110,,,,,134,-158,3,-3,-115,-105,41.5,-110,-110,,,,,139,-159,3,-3,-107,-114,41.5,-112,-109,,,,,135,-165,3,-3,-107,-114,41.5,-112,-109,,,,,,,,,,,,,,,,,,139,-159,3,-3,-107,-114,41.5,-112,-109,,,,,130,-155,3,-3,-110,-110,41.5,-110,-110,,,,,135,-160,3,-3,-107,-107,42,-107,-107,,,,,135,-160,3,-3,-110,-110,41.5,-110,-110,,,,,135,-165,3,-3,-107,-114,41.5,-112,-109,,,,,135,-165,3,-3,-107,-114,41.5,-112,-109,,,,
2022,RegularSeason,16,Week 16,12/24/22,1:00 PM ET,Sat,12/24/22 @ 1:00 PM ET,12/29/2022 8:43:57 AM,Final,DET,23,False,CAR,37,True,/assets/images/nfl/logos/DET.png,/assets/images/nfl/logos/CAR.png,"Q1, Q2, Q3, Q4","7, 17, 7, 6","7, 0, 6, 10",1,-135,115,-2.5,2.5,-110,-110,,,,,,,,112,-134,2,-2,-110,-112,43.5,-110,-111,,,,,115,-135,2,-2,-105,-115,43.5,-110,-110,,,,,114,-134,2.5,-2.5,-114,-106,43.5,-110,-110,,,,,115,-132,2,-2,-110,-112,43.5,-109,-112,,,,,112,-136,2,-2,-110,-112,43.5,-109,-112,,,,,,,,,,,,,,,,,,115,-132,2,-2,-110,-112,43.5,-109,-112,,,,,105,-125,2,-2,-110,-110,43.5,-110,-110,,,,,110,-130,2,-2,-107,-107,43.5,-107,-107,,,,,115,-135,2.5,-2.5,-110,-110,43.5,-110,-110,,,,,112,-136,2,-2,-110,-112,43.5,-109,-112,,,,,112,-136,2,-2,-110,-112,43.5,-109,-112,,,,
2022,RegularSeason,16,Week 16,12/24/22,1:00 PM ET,Sat,12/24/22 @ 1:00 PM ET,12/29/2022 8:44:06 AM,Final,ATL,9,False,BAL,17,True,/assets/images/nfl/logos/ATL.png,/assets/images/nfl/logos/BAL.png,"Q1, Q2, Q3, Q4","3, 11, 0, 3","0, 3, 3, 3",1,-380,290,-7.5,7.5,-110,-110,,,,,,,,-285,232,-6.5,6.5,-109,-112,35,-112,-110,,,,,-285,240,-6.5,6.5,-110,-110,35,-110,-110,,,,,-295,240,-6.5,6.5,-115,-105,35.5,-114,-106,,,,,-265,230,-6.5,6.5,-107,-114,35,-112,-109,,,,,-278,225,-6.5,6.5,-107,-114,35,-112,-109,,,,,,,,,,,,,,,,,,-265,230,-6.5,6.5,-107,-114,35,-112,-109,,,,,-292,235,-6.5,6.5,-110,-110,35,-110,-110,,,,,-333,230,-6.5,6.5,-107,-107,35.5,-107,-107,,,,,-300,230,-6.5,6.5,-110,-110,35.5,-110,-110,,,,,-278,225,-6.5,6.5,-107,-114,35,-112,-109,,,,,-278,225,-6.5,6.5,-107,-114,35,-112,-109,,,,
2022,RegularSeason,16,Week 16,12/24/22,2:00 PM ET,Sat,12/24/22 @ 2:00 PM ET,12/29/2022 8:44:18 AM,Final,HOU,19,True,TEN,14,False,/assets/images/nfl/logos/HOU.png,/assets/images/nfl/logos/TEN.png,"Q1, Q2, Q3, Q4","7, 0, 7, 0","7, 3, 0, 9",1,,,-8,8,-110,-110,,,,,,,,-176,147,-3,3,-117,-104,34,-112,-110,,,,,-170,145,-3,3,-120,100,34,-110,-110,,,,,-178,150,-3.5,3.5,-102,-120,34.5,-105,-115,,,,,-175,151,-3,3,-115,-106,34,-112,-109,,,,,-180,148,-3,3,-115,-106,34,-112,-109,,,,,,,,,,,,,,,,,,-175,151,-3,3,-115,-106,34,-112,-109,,,,,-178,150,-3,3,-120,100,34,-110,-110,,,,,-170,140,-3,3,-115,100,34,-107,-107,,,,,-175,145,-3.5,3.5,-105,-115,34,-110,-110,,,,,-180,148,-3,3,-115,-106,34,-112,-109,,,,,-180,148,-3,3,-115,-106,34,-112,-109,,,,
2022,RegularSeason,16,Week 16,12/24/22,4:05 PM ET,Sat,12/24/22 @ 4:05 PM ET,12/29/2022 8:44:31 AM,Final,WAS,20,False,SF,37,True,/assets/images/nfl/logos/WAS.png,/assets/images/nfl/logos/SF.png,"Q1, Q2, Q3, Q4","0, 7, 14, 16","0, 7, 7, 6",1,,,-6,6,-110,-110,,,,,,,,-288,236,-6.5,6.5,-112,-110,37.5,-112,-110,,,,,-300,250,-6,6,-115,-105,37,-110,-110,,,,,-310,250,-6.5,6.5,-114,-106,37.5,-108,-112,,,,,-278,240,-6.5,6.5,-112,-109,37.5,-112,-109,,,,,-295,230,-6.5,6.5,-112,-109,37.5,-112,-109,,,,,,,,,,,,,,,,,,-278,240,-6.5,6.5,-112,-109,37.5,-112,-109,,,,,-320,250,-6,6,-105,-115,37,-110,-110,,,,,-275,230,-6,6,-107,-107,37,-107,-107,,,,,-300,240,-6.5,6.5,-110,-110,36.5,-115,-105,,,,,-295,230,-6.5,6.5,-112,-109,37.5,-112,-109,,,,,-295,230,-6.5,6.5,-112,-109,37.5,-112,-109,,,,
