,Season,Type,Week,Timeframe,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayScore,AwayTeamHasWon,HomeTeam,sportsbook_spread,sportsbook_total,true_margin,true_total
0,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,NO,17.0,False,ATL,3.0,51.0,7.0,41.0
1,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,CLE,27.0,True,CIN,-3.0,40.5,-7.0,47.0
2,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,NYJ,31.0,True,DET,-3.0,43.0,-17.0,45.0
3,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,JAX,24.0,True,HOU,-6.0,37.0,-3.0,45.0
4,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,DAL,3.0,False,IND,7.0,40.5,17.0,23.0
5,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,BUF,16.0,False,KC,3.0,51.0,1.0,33.0
6,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,BAL,7.0,False,MIA,4.5,34.5,19.0,33.0
7,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,GB,21.0,False,MIN,-6.5,49.5,10.0,52.0
8,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,WAS,17.0,False,NYG,3.5,36.0,2.0,36.0
9,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,NE,20.0,False,LV,3.5,48.0,7.0,47.0
10,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,ARI,14.0,False,PHI,11.0,37.0,24.0,52.0
11,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,F/OT,SF,17.0,False,LAC,-2.0,42.5,3.0,37.0
12,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,DEN,31.0,True,SEA,-5.0,42.5,-22.0,40.0
13,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,CAR,10.0,False,TB,9.0,35.0,13.0,33.0
14,2002,RegularSeason,11,Week 11,11/17/02,12:00 AM ET,Sun,11/17/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,PIT,23.0,False,TEN,-3.0,44.0,8.0,54.0
15,2002,RegularSeason,11,Week 11,11/18/02,12:00 AM ET,Mon,11/18/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,CHI,16.0,False,LAR,10.5,44.0,5.0,37.0
0,2002,RegularSeason,3,Week 3,9/22/02,12:00 AM ET,Sun,9/22/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,LAC,23.0,True,ARI,-2.5,39.0,-8.0,38.0
1,2002,RegularSeason,3,Week 3,9/22/02,12:00 AM ET,Sun,9/22/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,CIN,3.0,False,ATL,7.0,41.5,27.0,33.0
2,2002,RegularSeason,3,Week 3,9/22/02,12:00 AM ET,Sun,9/22/02 @ 12:00 AM ET,7/27/2018 2:19:17 PM,Final,NO,29.0,True,CHI,-1.0,40.5,-6.0,52.0
